rtl_name	arch_params	node	status	crit_path_ns	slack_ns	crit_in2reg_ns	crit_reg2reg_ns	crit_reg2out_ns	crit_in2out_ns	message
intadd	a_width=8;b_width=8;out_width=8;pipeline_stages=2	16	ok	0.35	-0.08	0.04	0.35	0.12		
intadd	a_width=8;b_width=8;out_width=8;pipeline_stages=3	20	ok	0.44	-0.18	0.05	0.44	0.17		
intadd	a_width=8;b_width=8;out_width=8;pipeline_stages=5	20	ok	0.37	-0.11	0.05	0.37	0.17		
intadd	a_width=8;b_width=8;out_width=8;pipeline_stages=5	16	ok	0.27	0.00	0.04	0.27	0.12		
intadd	a_width=8;b_width=8;out_width=8;pipeline_stages=2	20	ok	0.51	-0.25	0.05	0.51	0.17		
intadd	a_width=8;b_width=8;out_width=16;pipeline_stages=2	20	ok	0.52	-0.25	0.05	0.52	0.17		
intadd	a_width=8;b_width=8;out_width=8;pipeline_stages=3	16	ok	0.31	-0.04	0.04	0.31	0.12		
intadd	a_width=8;b_width=8;out_width=16;pipeline_stages=2	16	ok	0.34	-0.07	0.04	0.34	0.12		
intadd	a_width=8;b_width=8;out_width=16;pipeline_stages=5	5	ok	0.27	0.02	0.02	0.27	0.05		
intadd	a_width=8;b_width=8;out_width=16;pipeline_stages=3	5	ok	0.27	0.01	0.02	0.27	0.05		
intadd	a_width=8;b_width=8;out_width=16;pipeline_stages=3	10	ok	0.26	0.02	0.02	0.26	0.06		
intadd	a_width=12;b_width=12;out_width=12;pipeline_stages=2	5	ok	0.26	0.02	0.02	0.26	0.05		
intadd	a_width=12;b_width=12;out_width=12;pipeline_stages=2	10	ok	0.27	0.01	0.02	0.27	0.06		
intadd	a_width=8;b_width=8;out_width=16;pipeline_stages=5	7	ok	0.28	0.01	0.02	0.28	0.05		
intadd	a_width=12;b_width=12;out_width=12;pipeline_stages=2	7	ok	0.26	0.02	0.02	0.26	0.05		
intadd	a_width=8;b_width=8;out_width=16;pipeline_stages=5	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=8;b_width=8;out_width=16;pipeline_stages=3	7	ok	0.28	0.01	0.02	0.28	0.05		
intadd	a_width=12;b_width=12;out_width=12;pipeline_stages=3	5	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=12;b_width=12;out_width=12;pipeline_stages=3	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=12;b_width=12;out_width=12;pipeline_stages=3	7	ok	0.25	0.03	0.02	0.25	0.05		
intadd	a_width=8;b_width=8;out_width=16;pipeline_stages=3	16	ok	0.36	-0.09	0.04	0.36	0.12		
intadd	a_width=8;b_width=8;out_width=16;pipeline_stages=5	20	ok	0.45	-0.19	0.05	0.45	0.17		
intadd	a_width=12;b_width=12;out_width=12;pipeline_stages=2	16	ok	0.38	-0.12	0.04	0.38	0.12		
intadd	a_width=8;b_width=8;out_width=16;pipeline_stages=3	20	ok	0.47	-0.21	0.05	0.47	0.19		
intadd	a_width=12;b_width=12;out_width=12;pipeline_stages=3	16	ok	0.32	-0.05	0.04	0.32	0.12		
intadd	a_width=8;b_width=8;out_width=16;pipeline_stages=5	16	ok	0.32	-0.05	0.04	0.32	0.12		
intadd	a_width=12;b_width=12;out_width=12;pipeline_stages=2	20	ok	0.51	-0.25	0.05	0.51	0.17		
intadd	a_width=12;b_width=12;out_width=12;pipeline_stages=3	20	ok	0.46	-0.20	0.05	0.46	0.17		
intadd	a_width=12;b_width=12;out_width=12;pipeline_stages=5	5	ok	0.20	0.08	0.02	0.2	0.05		
intadd	a_width=12;b_width=12;out_width=20;pipeline_stages=2	5	ok	0.25	0.03	0.02	0.25	0.05		
intadd	a_width=12;b_width=12;out_width=12;pipeline_stages=5	10	ok	0.26	0.02	0.02	0.26	0.06		
intadd	a_width=12;b_width=12;out_width=20;pipeline_stages=2	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=12;b_width=12;out_width=20;pipeline_stages=2	7	ok	0.25	0.03	0.02	0.25	0.05		
intadd	a_width=12;b_width=12;out_width=20;pipeline_stages=3	5	ok	0.23	0.05	0.02	0.23	0.05		
intadd	a_width=12;b_width=12;out_width=20;pipeline_stages=3	10	ok	0.26	0.02	0.02	0.26	0.06		
intadd	a_width=12;b_width=12;out_width=12;pipeline_stages=5	7	ok	0.20	0.08	0.02	0.2	0.05		
intadd	a_width=12;b_width=12;out_width=20;pipeline_stages=3	7	ok	0.24	0.05	0.02	0.24	0.05		
intadd	a_width=12;b_width=12;out_width=20;pipeline_stages=5	10	ok	0.26	0.02	0.02	0.26	0.06		
intadd	a_width=12;b_width=12;out_width=20;pipeline_stages=5	5	ok	0.27	0.01	0.02	0.27	0.05		
intadd	a_width=12;b_width=12;out_width=20;pipeline_stages=5	7	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=12;b_width=12;out_width=12;pipeline_stages=5	20	ok	0.40	-0.14	0.05	0.4	0.17		
intadd	a_width=12;b_width=12;out_width=12;pipeline_stages=5	16	ok	0.30	-0.03	0.04	0.3	0.12		
intadd	a_width=12;b_width=12;out_width=20;pipeline_stages=2	16	ok	0.41	-0.14	0.04	0.41	0.12		
intadd	a_width=12;b_width=12;out_width=20;pipeline_stages=3	16	ok	0.36	-0.10	0.04	0.36	0.12		
intadd	a_width=12;b_width=12;out_width=20;pipeline_stages=5	16	ok	0.32	-0.05	0.04	0.32	0.12		
intadd	a_width=12;b_width=12;out_width=20;pipeline_stages=2	20	ok	0.57	-0.30	0.05	0.57	0.17		
intadd	a_width=12;b_width=12;out_width=20;pipeline_stages=3	20	ok	0.52	-0.26	0.05	0.52	0.17		
intadd	a_width=12;b_width=12;out_width=20;pipeline_stages=5	20	ok	0.46	-0.20	0.05	0.46	0.17		
intadd	a_width=16;b_width=16;out_width=16;pipeline_stages=2	5	ok	0.26	0.02	0.02	0.26	0.05		
intadd	a_width=16;b_width=16;out_width=16;pipeline_stages=3	5	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=16;b_width=16;out_width=16;pipeline_stages=2	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=16;b_width=16;out_width=16;pipeline_stages=3	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=16;b_width=16;out_width=16;pipeline_stages=5	5	ok	0.23	0.05	0.02	0.23	0.05		
intadd	a_width=16;b_width=16;out_width=16;pipeline_stages=2	7	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=16;b_width=16;out_width=16;pipeline_stages=3	7	ok	0.28	0.00	0.02	0.28	0.05		
intadd	a_width=16;b_width=16;out_width=16;pipeline_stages=5	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=16;b_width=16;out_width=24;pipeline_stages=2	10	ok	0.28	0.00	0.02	0.28	0.06		
intadd	a_width=16;b_width=16;out_width=24;pipeline_stages=2	5	ok	0.27	0.01	0.02	0.27	0.05		
intadd	a_width=16;b_width=16;out_width=16;pipeline_stages=5	7	ok	0.24	0.04	0.02	0.24	0.05		
intadd	a_width=16;b_width=16;out_width=24;pipeline_stages=2	7	ok	0.27	0.01	0.02	0.27	0.05		
intadd	a_width=16;b_width=16;out_width=16;pipeline_stages=2	20	ok	0.56	-0.30	0.05	0.56	0.17		
intadd	a_width=16;b_width=16;out_width=16;pipeline_stages=3	16	ok	0.37	-0.10	0.04	0.37	0.12		
intadd	a_width=16;b_width=16;out_width=16;pipeline_stages=2	16	ok	0.40	-0.13	0.04	0.4	0.12		
intadd	a_width=16;b_width=16;out_width=16;pipeline_stages=5	16	ok	0.30	-0.04	0.04	0.3	0.12		
intadd	a_width=16;b_width=16;out_width=24;pipeline_stages=2	16	ok	0.40	-0.13	0.04	0.4	0.12		
intadd	a_width=16;b_width=16;out_width=16;pipeline_stages=3	20	ok	0.52	-0.25	0.05	0.52	0.17		
intadd	a_width=16;b_width=16;out_width=16;pipeline_stages=5	20	ok	0.43	-0.17	0.05	0.43	0.17		
intadd	a_width=16;b_width=16;out_width=24;pipeline_stages=2	20	ok	0.57	-0.31	0.05	0.57	0.17		
intadd	a_width=16;b_width=16;out_width=24;pipeline_stages=3	5	ok	0.23	0.05	0.02	0.23	0.05		
intadd	a_width=16;b_width=16;out_width=24;pipeline_stages=3	10	ok	0.26	0.02	0.02	0.26	0.06		
